Date,Malappuram-Angadipuram,Malappuram-Manjeri,Malappuram-Nilambur,Malappuram-Perinthalamanna,Malappuram-Ponnani,Malappuram-Tiruvangadi,Palakkad-Alathur,Palakkad-Alattur,Palakkad-Cherapalaseri,Palakkad-Mannarkad,Palakkad-Ottapalam,Malappuram-Palakkad,Palakkad-OBSY,Palakkad-Parli,Palakkad-Pattembi,Thrissur-Chalakudi,Thrissur-Enamakkal,Thrissur-Kodungallur,Thrissur-Mukundarpuram,Thrissur-Ollukara,Thrissur-Peechi,Thrissur-Thalipilly,Thrissur-Thrissur,Coimbatore-Anaimalai,Coimbatore-Attakatti,Coimbatore-Nirardam1,Coimbatore-Parambikulam,Coimbatore-Pollachi,Coimbatore-Sholiyarnagar,Coimbatore-Solayar,Coimbatore-Topslip,Coimbatore-Nirar,Coimbatore-Valparai,Palakkad-Chittur
1970-02-27,0.54,0.0,0.06,0.05,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,1.38,0.0,1.02,0.09,2.29,0.24,0.13,0.0
1970-02-28,0.66,0.0,0.06,1.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.06,0.09,0.0,0.37,0.46,0.0
1970-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,1.41,0.0,0.19,0.96,2.08,0.0
1970-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.77,0.0,0.0,0.38,0.16,0.0
1970-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,1.06,0.0,0.0,1.58,0.74,0.0
1970-03-04,1.7,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,11.5,0.0,1.43,1.45,0.0,2.88,3.11,0.0
1970-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
1970-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.06,1.18,0.07,1.62,1.47,0.0
1970-03-07,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,3.3,0.55,0.0,2.19,2.63,0.0
1970-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,1.07,0.0,1.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,2.83,4.91,0.0,0.38,2.46,0.0
1970-03-09,1.24,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.55,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,2.7,1.09,0.0,2.08,1.67,0.0
1970-03-10,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,2.82,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,4.25,0.0,1.75,2.45,0.0,2.43,2.42,0.0
1970-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.77,0.0,0.0,2.29,5.18,0.0,0.23,2.11,0.0
1970-03-12,0.96,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.26,1.36,0.0,1.5,0.88,0.0
1970-03-13,1.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,1.59,3.27,0.81,1.48,2.84,0.0
1970-03-14,2.27,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.78,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,10.62,0.0,1.78,0.32,1.0,4.46,1.79,0.0
1970-03-15,1.98,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,1.0,0.0,1.46,0.36,0.33,3.48,2.92,0.0
1970-03-16,4.7,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,1.33,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.62,0.0,1.16,2.18,0.64,2.43,1.54,0.0
1970-03-17,7.78,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.81,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.12,0.0,1.55,1.64,0.02,5.78,1.15,0.0
1970-03-18,2.11,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.38,0.0,1.0,1.36,0.3,3.37,0.38,0.0
1970-03-19,0.75,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,1.48,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.25,0.0,1.16,0.27,0.76,1.28,1.6,0.0
1970-03-20,2.34,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,1.23,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.62,0.0,1.14,0.36,0.19,0.48,0.59,0.0
1970-03-21,0.08,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.46,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.62,0.0,0.74,1.27,0.76,0.73,0.61,0.0
1970-03-22,2.77,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.5,0.0,1.08,9.27,0.24,0.92,1.16,0.0
1970-03-23,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.39,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.0,0.0,1.25,6.0,0.0,0.85,1.82,0.0
